Meas number	Date	Decimal date	Q (cfs)	GH (ft)	GH change (ft	Meas type	Width (ft	Area (ft2)	vel (ft/s)	Location	Dist 	Discharge	Stage
693	1/8/02 9:30	2002.02	325	3.25	0	WADE	115	188	1.73	UNSP		325	3.25
694	2/19/02 10:15	2002.14	392	3.41	0	WADE	129	205	1.91	UNSP		392	3.41
695	4/2/02 12:06	2002.25	550	3.78	0	WADE	151	239	2.3	UNSP		550	3.78
696	5/14/02 10:41	2002.37	602	3.9	0	WADE	163	265	2.27	UNSP		602	3.9
697	7/12/02 14:30	2002.53	723	4.04	0	WADE	175	314	2.3	UNSP		723	4.04
698	8/27/02 16:35	2002.66	1440	5.13	-0.12	BOAT	107	605	2.38	UNSP		1440	5.13
699	10/15/02 12:02	2002.79	1540	5.12	-0.01	BOAT	106	602	2.56	UNSP		1540	5.12
700	12/11/02 11:00	2002.95	479	3.57	0	WADE	131	194	2.47	UNSP		479	3.57
701	1/30/03 13:15	2003.08	297	5.05	0	ICE	152	165	1.8	UNSP		297	5.05
702	3/13/03 8:20	2003.20	313	3.13	0	WADE	112	147	2.13	UNSP		313	3.13
703	4/15/03 8:30	2003.29	535	3.71	0	WADE	151	237	2.26	UNSP		535	3.71
704	5/19/03 18:26	2003.38	2310	5.71	0	CRAN	333	762	3.03	UNSP		2310	5.71
705	7/15/03 13:50	2003.54	577	3.81	0	WADE	156	264	2.19	UNSP		577	3.81
706	8/26/03 9:15	2003.65	236	2.94	0	WADE	114	188	1.26	UNSP		236	2.94
707	10/7/03 10:50	2003.77	240	3.01	0.01	WADE	120	161	1.49	UNSP		240	3.01
708	11/19/03 15:37	2003.89	303	3.21	0	WADE	114	164	1.85	UNSP		303	3.21
709	12/19/03 10:19	2003.97	243	2.96	-0.01	WADE	107	146	1.66	UNSP		243	2.96
710	2/10/04 11:48	2004.11	208	3.03	0	ICE	96	116	1.79	UNSP		208	3.03
711	3/23/04 10:35	2004.23	782	4.08	0	WADE	175	300	2.61	UNSP		782	4.08
712	4/30/04 11:00	2004.33	455	3.52	-0.01	WADE	124	202	2.25	UNSP		455	3.52
713	5/27/04 16:06	2004.41	2070	5.7	0	WADE	112	692	2.99	UNSP		2070	5.7
714	7/13/04 12:07	2004.54	3850	7.5	-0.01	UNSP	223	1030	3.83	UNSP		3850	7.5
715	8/16/04 12:11	2004.63	659	3.84	0.28	WADE	147	264	2.5	UNSP		659	3.84
716	10/19/04 10:34	2004.80	710	3.97	-0.04	WADE	162	290	2.45	UNSP		710	3.97
717	12/3/04 10:35	2004.93	543	3.74	0	WADE	157	258	2.1	UNSP		543	3.74
718	12/17/04 9:30	2004.97	486	3.6	-0.01	WADE	147	237	2.05	UNSP		486	3.6
719	1/27/05 9:50	2005.08	201	3.03	0.01	ICE	98	114	1.76	UNSP		201	3.03
720	3/21/05 9:30	2005.22	454	3.52	0	WADE	126	265	1.71	UNSP		454	3.52
721	4/19/05 11:40	2005.30	2210	5.62	0.02	UNSP	136	639	3.46	UNSP		2210	5.62
722	6/17/05 11:16	2005.46	1210	4.64	0	UNSP	106	492	2.48	UNSP		1210	4.64
723	7/11/05 12:30	2005.53	428	3.39	-0.01	WADE	126	208	2.06	UNSP		428	3.39
724	8/23/05 11:30	2005.65	290	3.05	0	WADE	121	181	1.6	UNSP		290	3.05
725	10/25/05 11:10	2005.82	607	3.79	0	WADE	154	256	2.37	UNSP		607	3.79
726	1/12/06 12:42	2006.03	544	3.71	0	WADE	176	258	2.11	UNSP		544	3.71
727	2/24/06 11:44	2006.15	523	3.63	0.03	WADE	175	231	2.27	UNSP		523	3.63
728	3/15/06 15:28	2006.20	825	4.24	0	WADE	179	330	2.5	UNSP		825	4.24
729	5/9/06 15:16	2006.36	1550	5.1	0.01	UNSP	110	608	2.55	UNSP		1550	5.1
730	6/23/06 13:23	2006.48	671	3.92	-0.03	WADE	177	283	2.37	UNSP		671	3.92
731	8/4/06 10:30	2006.59	861	4.23	-0.1	WADE	162	315	2.73	UNSP		861	4.23
732	9/15/06 11:50	2006.71	345	3.2	0	WADE	118	172	2.01	UNSP		345	3.2
733	10/26/06 14:21	2006.82	318	3.15	0	WADE	115	152	2.09	UNSP		318	3.15
734	12/18/06 11:24	2006.97	363	3.19	0	WADE	110	141	2.58	UNSP		363	3.19
735	1/23/07 11:37	2007.06	424	3.4	0	WADE	119	190	2.23	UNSP		424	3.4
736	3/23/07 12:14	2007.23	2300	5.75	0	UNSP	210	630	3.65	UNSP		2300	5.75
737	5/23/07 14:30	2007.39	343	3.22	0	WADE	122	1.73	1.98	UNSP		343	3.22
738	6/22/07 10:27	2007.48	495	3.64	0.12	WADE	139	224	2.21	UNSP		495	3.64
739	8/7/07 11:04	2007.60	381	3.36	0	WADE	126	204	1.87	UNSP		381	3.36
740	8/21/07 12:02	2007.64	3880	7.41	0.05	UNSP	176	872	4.45	UNSP		3880	7.41
741	10/10/07 13:19	2007.78	2810	6.26	0	UNSP	235	838	3.35	UNSP		2810	6.26
742	11/26/07 14:10	2007.91	602	3.84	0	WADE	158	257	2.35	UNSP		602	3.84
743	2/27/08 10:05	2008.16	251	3.84	0.01	WADE	110	327	0.77	UNSP		251	3.84
