Discharge	Stage
325	3.25
392	3.41
550	3.78
602	3.9
723	4.04
1440	5.13
1540	5.12
479	3.57
297	5.05
313	3.13
535	3.71
2310	5.71
577	3.81
236	2.94
240	3.01
303	3.21
243	2.96
208	3.03
782	4.08
455	3.52
2070	5.7
3850	7.5
659	3.84
710	3.97
543	3.74
486	3.6
201	3.03
454	3.52
2210	5.62
1210	4.64
428	3.39
290	3.05
607	3.79
544	3.71
523	3.63
825	4.24
1550	5.1
671	3.92
861	4.23
345	3.2
318	3.15
363	3.19
424	3.4
2300	5.75
343	3.22
495	3.64
381	3.36
3880	7.41
2810	6.26
602	3.84
251	3.84
2580	6.22
488	3.54
240	2.85
269	2.97
217	2.94
256	3.26
507	3.57
596	3.73
195	2.7
180	2.62
186	2.65
604	3.81
233	3.56
292	3.1
4130	7.57
520	3.6
2380	6.04
1060	4.46
466	3.45
15500	13.93
15500	13.93
17400	13.68
3170	7.18
3170	7.18
866	4.84
641	4.62
7960	10.61
1820	5.86
1820	5.86
1750	5.55
1750	5.55
490	4.09
353	3.84
310	3.73
137	3.41
245	3.52
390	3.85
566	4.23
15500	13.53
15500	13.53
373	3.99
253	3.66
284	3.71
283	3.73
211	3.48
1800	6.07
1370	5.46
1060	5.06
327	3.87
388	3.92
188	3.81
182	3.94
1750	5.64
1970	6.01
418	3.8
326	3.6
331	3.58
279	5.03
200	3.17
330	3.56
359	3.66
2210	6.26
710	4.34
427	3.84
754	4.48
3500	7.45
773	4.47
803	4.48
1160	5.02
1210	5.08
4680	8.32
4380	8.3
2820	6.67
11900	12.25
1150	5.07
1010	4.92
1180	5.13
3690	7.61
561	4.15
554	4.22
1010	4.85
576	4.14
275	4.98
309	3.53
3910	7.56
