Discharge	Stage
9040	10.11
4480	7.66
8420	9.9
5730	8.64
4990	7.72
4620	7.25
4320	6.81
5060	8.02
4750	12.07
9500	10.42
20400	12.53
4490	8.1
8470	10.03
4730	7.87
6890	9.26
5360	8.06
6720	9.18
4370	8.45
4210	7.05
5740	8.48
907	3.23
827	3.12
357	2.3
242	1.84
269	1.94
223	1.89
3240	6.52
9140	10.33
2680	5.67
3180	6.12
144	1.57
1230	3.8
1280	3.82
1480	4.08
297	2.02
3490	6.68
5780	8.35
6650	9.18
154	1.58
386	2.32
855	3.12
462	2.55
3620	6.1
3120	5.98
2120	5
365	2.41
826	3.19
521	2.52
1050	3.35
448	2.31
5410	7.54
1670	4.3
10800	11.08
4190	7.23
605	3.32
475	4.32
1420	4.42
288	2.82
2150	5.71
622	3.29
320	2.74
260	2.61
1030	3.89
1280	4.56
478	2.96
652	3.31
380	2.73
364	3.76
813	3.56
623	3.38
349	2.75
317	2.81
402	4.38
372	3.65
3820	7.22
504	3.28
506	3.02
1840	4.73
663	3.26
612	3.16
376	2.69
6640	9.32
833	3.29
22600	14.97
308	3.21
546	3.72
355	3.87
697	3.97
4690	7.95
1960	5.74
662	3.75
711	3.85
322	3.16
284	3.05
304	3.05
740	3.85
438	3.36
2420	5.76
383	3.21
300	3.01
306	3.05
350	3.66
351	3.15
3510	6.79
6340	9.34
563	3.78
272	3.08
367	3.36
503	3.71
325	3.25
392	3.41
550	3.78
602	3.9
723	4.04
1440	5.13
1540	5.12
479	3.57
297	5.05
313	3.13
535	3.71
2310	5.71
577	3.81
236	2.94
240	3.01
303	3.21
243	2.96
208	3.03
782	4.08
455	3.52
2070	5.7
3850	7.5
659	3.84
710	3.97
543	3.74
486	3.6
201	3.03
454	3.52
2210	5.62
1210	4.64
428	3.39
290	3.05
607	3.79
544	3.71
523	3.63
825	4.24
1550	5.1
671	3.92
861	4.23
345	3.2
318	3.15
363	3.19
424	3.4
2300	5.75
343	3.22
495	3.64
381	3.36
3880	7.41
2810	6.26
602	3.84
251	3.84
2580	6.22
488	3.54
240	2.85
269	2.97
217	2.94
256	3.26
507	3.57
596	3.73
195	2.7
180	2.62
186	2.65
604	3.81
233	3.56
292	3.1
4130	7.57
520	3.6
2380	6.04
1060	4.46
466	3.45
15500	13.93
15500	13.93
17400	13.68
3170	7.18
3170	7.18
866	4.84
641	4.62
7960	10.61
1820	5.86
1820	5.86
1750	5.55
1750	5.55
490	4.09
353	3.84
310	3.73
137	3.41
245	3.52
390	3.85
566	4.23
15500	13.53
15500	13.53
373	3.99
253	3.66
284	3.71
283	3.73
211	3.48
1800	6.07
1370	5.46
1060	5.06
327	3.87
388	3.92
188	3.81
182	3.94
1750	5.64
1970	6.01
418	3.8
326	3.6
331	3.58
279	5.03
200	3.17
330	3.56
359	3.66
2210	6.26
710	4.34
427	3.84
754	4.48
3500	7.45
773	4.47
803	4.48
1160	5.02
1210	5.08
4680	8.32
4380	8.3
2820	6.67
11900	12.25
1150	5.07
1010	4.92
1180	5.13
3690	7.61
561	4.15
554	4.22
1010	4.85
576	4.14
275	4.98
309	3.53
3910	7.56
